S1_S0202,S2_S0202,S3_S0202,S4_S0202,S5_S0202,S6_S0202,S7_S0202,S8_S0202
0.407,1.388,1.028,1.227,1.105,0.127,0.343,0.761
0.409,1.394,1.03,1.232,1.11,0.127,0.343,0.765
0.41,1.4,1.033,1.237,1.115,0.128,0.344,0.768
0.411,1.405,1.035,1.241,1.12,0.129,0.344,0.772
0.412,1.411,1.037,1.247,1.125,0.13,0.345,0.775
0.413,1.416,1.039,1.251,1.129,0.13,0.345,0.779
0.415,1.421,1.042,1.255,1.134,0.131,0.346,0.782
0.416,1.426,1.044,1.26,1.139,0.132,0.347,0.786
0.417,1.431,1.046,1.264,1.143,0.132,0.347,0.789
0.418,1.436,1.048,1.268,1.147,0.133,0.348,0.792
0.42,1.441,1.05,1.272,1.152,0.134,0.348,0.795
0.421,1.445,1.052,1.276,1.156,0.135,0.349,0.798
0.422,1.449,1.055,1.28,1.16,0.135,0.349,0.8
0.423,1.454,1.057,1.283,1.164,0.136,0.35,0.803
0.424,1.458,1.059,1.286,1.167,0.137,0.351,0.806
0.426,1.462,1.061,1.29,1.171,0.138,0.351,0.808
0.427,1.466,1.063,1.292,1.174,0.138,0.352,0.811
0.428,1.47,1.065,1.295,1.178,0.139,0.352,0.813
0.429,1.474,1.067,1.298,1.181,0.14,0.353,0.816
0.43,1.478,1.07,1.3,1.185,0.14,0.353,0.818
0.432,1.482,1.072,1.302,1.187,0.141,0.354,0.82
0.433,1.485,1.074,1.304,1.19,0.142,0.354,0.822
0.434,1.489,1.076,1.306,1.193,0.143,0.355,0.824
0.435,1.493,1.078,1.308,1.196,0.143,0.355,0.826
0.436,1.496,1.08,1.31,1.198,0.144,0.356,0.828
0.437,1.499,1.082,1.311,1.201,0.145,0.356,0.829
0.439,1.503,1.084,1.312,1.203,0.146,0.357,0.831
0.44,1.506,1.086,1.313,1.205,0.146,0.357,0.832
0.441,1.509,1.088,1.314,1.207,0.147,0.358,0.834
0.442,1.512,1.09,1.315,1.208,0.148,0.359,0.835
0.443,1.515,1.092,1.315,1.21,0.148,0.359,0.837
0.444,1.518,1.094,1.316,1.212,0.149,0.359,0.838
0.445,1.521,1.096,1.316,1.213,0.15,0.36,0.839
0.446,1.524,1.098,1.317,1.215,0.15,0.361,0.84
0.448,1.527,1.1,1.317,1.216,0.151,0.361,0.841
0.449,1.529,1.101,1.317,1.217,0.152,0.361,0.843
0.45,1.532,1.103,1.317,1.218,0.152,0.362,0.844
0.451,1.535,1.105,1.318,1.219,0.153,0.363,0.845
0.452,1.537,1.107,1.318,1.22,0.154,0.363,0.845
0.453,1.54,1.109,1.318,1.221,0.154,0.364,0.847
0.454,1.542,1.11,1.317,1.222,0.155,0.364,0.847
0.455,1.544,1.112,1.317,1.222,0.156,0.364,0.848
0.456,1.546,1.114,1.316,1.223,0.156,0.365,0.849
0.457,1.548,1.116,1.316,1.223,0.157,0.365,0.85
0.459,1.55,1.117,1.316,1.224,0.158,0.366,0.85
0.46,1.552,1.119,1.315,1.224,0.158,0.366,0.851
0.461,1.553,1.121,1.315,1.225,0.159,0.367,0.852
0.462,1.555,1.122,1.314,1.225,0.16,0.367,0.852
0.463,1.557,1.124,1.314,1.225,0.16,0.368,0.853
0.464,1.558,1.126,1.313,1.225,0.161,0.368,0.853
0.465,1.56,1.127,1.313,1.225,0.162,0.369,0.854
0.466,1.561,1.129,1.312,1.225,0.162,0.369,0.854
0.467,1.563,1.131,1.311,1.225,0.163,0.37,0.855
0.468,1.564,1.132,1.31,1.225,0.163,0.37,0.855
0.469,1.565,1.134,1.31,1.225,0.164,0.371,0.855
